src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.216,4.153.25.42,49932,443,6,2025-12-11 19:25:41,1.1920928955078125e-06,241591910.4,3355443.2,3355443.2,0.0,4,0,288,0,78,66,72.0,6.0,0,0,0,0.0,78,66,72.0,6.0,36.0,80,0,20,0,3.973642985026042e-07,9.5367431640625e-07,0.0,4.052336624139774e-07,1.1920928955078125e-06,9.5367431640625e-07,0.0,3.973642985026042e-07,4.052336624139774e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,72.0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0,0,4,0,288,0
192.168.1.216,192.168.1.1,33952,53,17,2025-12-11 19:25:41,0.0,0,0,0,0,2,0,142,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,2,0,142,0
192.168.1.216,142.251.132.246,43497,443,17,2025-12-11 19:25:41,0.10938763618469238,67183.09542398187,100.55981081287257,100.55981081287257,0.0,11,0,7349,0,1292,73,668.0909090909091,573.7615048631355,0,0,0,0.0,1292,73,668.0909090909091,573.7615048631355,329202.26446280995,220,0,20,11,0.010938763618469238,0.1084907054901123,0.0,0.03251762144357489,0.10938763618469238,0.1084907054901123,0.0,0.010938763618469238,0.03251762144357489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,668.0909090909091,0,0,0,0,0,0,0,0,0,0,5637.0,10.0,0,0,51532.3321411057,0,668.0909090909091,0,0,11,0,7349,0
192.168.1.216,192.168.1.1,3398,53,17,2025-12-11 19:25:43,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
192.200.0.116,192.168.1.69,443,52384,6,2025-12-11 19:27:31,111.82185053825378,21.20336936463854,0.23251269653336232,0.09837075622565329,0.13414194030770904,11,15,1321,1050,151,66,120.0909090909091,40.88888389827094,78,66,70.0,5.656854249492381,151,66,91.1923076923077,36.5818568216638,1338.23224852071,220,300,20,7,4.472874021530151,30.246784687042236,0.0,10.207746733989481,111.71180248260498,30.61030673980713,0.0,11.171180248260498,13.765699748801069,111.82171440124512,30.246784687042236,2.5987625122070312e-05,7.9872653143746515,12.632870970598516,7,0,0,0,0,0,0,7,26,0,0,1.3636363636363635,91.1923076923077,611,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0909090909091,70.0,0,11,15,1321,1050
192.168.1.216,57.144.136.3,47926,443,6,2025-12-11 19:27:42,120.2501049041748,4.656960594306792,0.0582120074288349,0.0582120074288349,0.0,7,0,560,0,103,66,80.0,15.371587890836595,0,0,0,0.0,103,66,80.0,15.371587890836595,236.28571428571428,140,0,20,2,20.0416841506958,60.0600266456604,0.0,28.22669785149274,120.2501049041748,60.0600266456604,0.0,20.0416841506958,28.22669785149274,0,0,0,0,0,2,0,0,0,0,0,0,2,7,0,0,0.0,80.0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,7,0,560,0
192.168.1.216,216.239.32.223,49797,443,17,2025-12-11 19:27:43,100.12011432647705,328.8450100310478,0.6092681816271995,0.6092681816271995,0.0,61,0,32924,0,1292,73,539.7377049180328,553.6205394429412,0,0,0,0.0,1292,73,539.7377049180328,553.6205394429412,306495.7016930932,1220,0,20,61,1.6686685721079508,36.26901412010193,0.0,6.439008983730393,100.12011432647705,36.26901412010193,0.0,1.6686685721079508,6.439008983730393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,539.7377049180328,0,0,0,0,0,0,0,0,0,0,4159.571428571428,8.571428571428571,0,0,16487.78701857735,0,539.7377049180328,0,0,61,0,32924,0
192.168.1.223,35.190.80.1,54184,443,6,2025-12-11 19:28:12,90.19012475013733,2.9271497376390756,0.044350753600592055,0.044350753600592055,0.0,4,0,264,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,30.063374916712444,45.11003518104553,0.0,21.258019784260714,90.19012475013733,45.11003518104553,0.0,30.063374916712444,21.258019784260714,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,66.0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,4,0,264,0
192.168.1.216,64.233.190.101,47159,443,17,2025-12-11 19:25:43,0.22012662887573242,42221.15264958116,49.97123726548234,49.97123726548234,0.0,11,0,9294,0,1292,73,844.9090909090909,573.834226069049,0,0,0,0.0,1292,73,844.9090909090909,573.834226069049,329285.7190082644,220,0,20,11,0.022012662887573243,0.11050629615783691,0.0,0.043995448599349944,0.22012662887573242,0.11050629615783691,0.0,0.022012662887573243,0.043995448599349944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,844.9090909090909,0,0,0,0,0,0,0,0,0,0,7582.0,10.0,0,0,34443.81099517155,0,844.9090909090909,0,0,11,0,9294,0
192.168.1.216,142.250.219.3,38506,443,6,2025-12-11 19:25:49,0.7699260711669922,639.0223924412195,7.792956005380726,7.792956005380726,0.0,6,0,492,0,90,66,82.0,11.313708498984761,0,0,0,0.0,90,66,82.0,11.313708498984761,128.0,120,0,20,4,0.15398521423339845,0.5499727725982666,0.0,0.2154569816717356,0.7699260711669922,0.5499727725982666,0.0,0.15398521423339845,0.2154569816717356,0,0,0,0,0,4,0,0,0,2,0,0,4,6,0,0,0.0,82.0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,6,0,492,0
